"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",9.60663333333331,1.06481235200163,9.02190260591437,12.6614496890112,7.17079901224014e-07
"2","fixed",NA,"watering_regimedrought",4.26830000000002,1.35186445471715,3.15734316787925,14.0000000038305,0.00698887524225664
"3","fixed",NA,"timepointD+4",2.35496666666668,1.35186445471715,1.74201389677,14.0000000044262,0.103421414401389
"4","fixed",NA,"timepointN+10",2.45873333333335,1.35186445471715,1.81877208528852,14.0000000043353,0.0903976561591841
"5","fixed",NA,"timepointN+4",3.00323333333334,1.35186445471715,2.22154915224966,14.0000000042501,0.0433126077506382
"6","fixed",NA,"watering_regimedrought:timepointD+4",2.26003333333332,1.91182504635111,1.18213397070344,14.0000000042848,0.256842251623775
"7","fixed",NA,"watering_regimedrought:timepointN+10",3.72696666666665,1.91182504635111,1.94942872716304,14.0000000042611,0.0715664279530962
"8","fixed",NA,"watering_regimedrought:timepointN+4",0.986366666666659,1.91182504635111,0.51592935689865,14.0000000032916,0.61395510925716
"9","ran_pars","replicate","sd__(Intercept)",0.812508325516834,NA,NA,NA,NA
"10","ran_pars","Residual","sd__Observation",1.65568905773142,NA,NA,NA,NA
